country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth,youth_unemployment_rate
Afghanistan,AFG,2002,1280.4631,Asia,NA,NA,10.234
Afghanistan,AFG,2003,1292.3335,Asia,NA,0.9270395999697312,10.189
Afghanistan,AFG,2004,1260.0605,Asia,NA,-2.4972656052017466,10.2
Afghanistan,AFG,2005,1352.3207,Asia,NA,7.321886528464303,10.181
Afghanistan,AFG,2006,1366.9932,Asia,NA,1.084986719496337,10.197
Afghanistan,AFG,2007,1528.3446,Asia,NA,11.803379855876388,10.098
Afghanistan,AFG,2008,1556.8445,Asia,NA,1.8647561551236564,10.135
Afghanistan,AFG,2009,1823.7426,Asia,NA,17.14352974879637,10.008
Afghanistan,AFG,2010,2026.1638,Asia,NA,11.099219813146878,9.99
Afghanistan,AFG,2011,1961.0963,Asia,NA,-3.2113642539660465,10.003
Afghanistan,AFG,2012,2122.8308,Asia,NA,8.247147271656178,10.054
Afghanistan,AFG,2013,2165.3408,Asia,NA,2.0025147552974905,10.112
Afghanistan,AFG,2014,2144.4497,Asia,35.06,-0.9647950105590688,10.094
Afghanistan,AFG,2015,2108.714,Asia,NA,-1.6664275221750446,12.55
Afghanistan,AFG,2016,2101.422,Asia,NA,-0.34580317672287075,14.947
Afghanistan,AFG,2017,2096.093,Asia,42.84,-0.2535901879774828,17.31
Afghanistan,AFG,2018,2060.699,Asia,NA,-1.6885701159251896,16.394
Afghanistan,AFG,2019,2079.9219,Asia,NA,0.9328339558567144,15.496
Afghanistan,AFG,2020,1968.341,Asia,53.76,-5.36466777911228,16.053
Afghanistan,AFG,2021,1516.3057,Asia,62.81,-22.96529412332518,16.395
Armenia,ARM,1990,5153.2983,Asia,NA,NA,NA
Armenia,ARM,1991,4473.519,Asia,NA,-13.191149831167353,1.967
Armenia,ARM,1992,2634.9631,Asia,NA,-41.098649631308156,1.977
Armenia,ARM,1993,2484.5522,Asia,NA,-5.708273485879171,5.749
Armenia,ARM,1994,2683.6375,Asia,NA,8.012924824038702,7.276
Armenia,ARM,1995,2912.781,Asia,NA,8.538541438625751,7.208
Armenia,ARM,1996,3105.953,Asia,NA,6.631875173588403,9.937
Armenia,ARM,1997,3236.0605,Asia,NA,4.188971951603906,11.529
Armenia,ARM,1998,3505.3684,Asia,NA,8.322091011586458,10.207
Armenia,ARM,1999,3660.0342,Asia,NA,4.412255214031148,12.293
Armenia,ARM,2000,3921.8574,Asia,NA,7.153572499404509,12.254
Armenia,ARM,2001,4346.9077,Asia,NA,10.83798457332997,12.207
Armenia,ARM,2002,4965.224,Asia,NA,14.22427948033036,12.107
Armenia,ARM,2003,5698.7783,Asia,NA,14.77384101905573,12.034
Armenia,ARM,2004,6334.856,Asia,NA,11.161650208431514,11.996
Armenia,ARM,2005,7259.204,Asia,NA,14.591460326801432,11.968
Armenia,ARM,2006,8273.786,Asia,NA,13.97649108635052,11.945
Armenia,ARM,2007,9476.472,Asia,NA,14.536102335738436,11.931
Armenia,ARM,2008,10201.56,Asia,NA,7.651455098479684,35.678
Armenia,ARM,2009,8819.678,Asia,40.52,-13.545791035880782,39.726
Armenia,ARM,2010,9068.788,Asia,NA,2.824479533153031,37.647
Armenia,ARM,2011,9551.158,Asia,44.6,5.319012860373392,38.184
Armenia,ARM,2012,10289.976,Asia,36.77,7.735376171140726,34.345
Armenia,ARM,2013,10677.304,Asia,44.37,3.764129284655275,35.096
Armenia,ARM,2014,11105.532,Asia,38.03,4.010637891362831,36.411
Armenia,ARM,2015,11506.039,Asia,35.56,3.6063738324287526,31.871
Armenia,ARM,2016,11580.384,Asia,36.58,0.6461389536399046,35.656
Armenia,ARM,2017,12509.64,Asia,36.59,8.024397118437518,37.721
Armenia,ARM,2018,13231.431,Asia,29.52,5.769878269878278,33.631
Armenia,ARM,2019,14317.553,Asia,26.04,8.208651052180217,32.526
Armenia,ARM,2020,13357.697,Asia,26.08,-6.704050615353055,32.205
Armenia,ARM,2021,14193.117,Asia,23.49,6.254221816829652,30.532
Azerbaijan,AZE,1990,7616.91,Asia,NA,NA,NA
Azerbaijan,AZE,1991,7463.629,Asia,NA,-2.0123777227248314,1.672
Azerbaijan,AZE,1992,5690.181,Asia,NA,-23.761202492782,3.324
Azerbaijan,AZE,1993,4309.9214,Asia,NA,-24.256866345727836,8.294
Azerbaijan,AZE,1994,3414.5112,Asia,NA,-20.77555753104918,11.614
Azerbaijan,AZE,1995,2976.995,Asia,NA,-12.81343578547934,13.302
Azerbaijan,AZE,1996,2985.3372,Asia,NA,0.2802221703429145,15.018
Azerbaijan,AZE,1997,3128.164,Asia,NA,4.7842769654295765,16.946
Azerbaijan,AZE,1998,3408.4753,Asia,NA,8.960888879227555,18.727
Azerbaijan,AZE,1999,3628.7168,Asia,NA,6.461584157585067,20.446
Azerbaijan,AZE,2000,3998.5205,Asia,NA,10.191032267935594,22.121
Azerbaijan,AZE,2001,4360.4595,Asia,NA,9.051823043048044,22.102
Azerbaijan,AZE,2002,4736.5645,Asia,NA,8.62535244278729,21.604
Azerbaijan,AZE,2003,5180.6865,Asia,NA,9.376458401442635,18.959
Azerbaijan,AZE,2004,5610.763,Asia,NA,8.30153494136347,18.243
Azerbaijan,AZE,2005,7106.598,Asia,NA,26.66009952657063,15.332
Azerbaijan,AZE,2006,9453.941,Asia,NA,33.030473934222826,14.691
Azerbaijan,AZE,2007,11684.191,Asia,NA,23.59069090869088,13.45
Azerbaijan,AZE,2008,12672.376,Asia,NA,8.45745332304136,13.74
Azerbaijan,AZE,2009,13565.855,Asia,9.4,7.050603612140291,13.685
Azerbaijan,AZE,2010,14082.238,Asia,9.64,3.8064906340219604,14.64
Azerbaijan,AZE,2011,13913.837,Asia,NA,-1.195839752175754,14.52
Azerbaijan,AZE,2012,14027.469,Asia,NA,0.8166834209715093,13.974
Azerbaijan,AZE,2013,14651.694,Asia,NA,4.450018745363119,13.478
Azerbaijan,AZE,2014,14867.943,Asia,NA,1.4759317250278352,13.415
Azerbaijan,AZE,2015,14852.611,Asia,NA,-0.10312119168064149,13.363
Azerbaijan,AZE,2016,14232.192,Asia,NA,-4.177171273118253,12.908
Azerbaijan,AZE,2017,14121.407,Asia,NA,-0.7784113648832158,12.37
Azerbaijan,AZE,2018,14209.593,Asia,NA,0.6244845148928965,11.623
Azerbaijan,AZE,2019,14442.041,Asia,NA,1.635852624350314,11.474
Azerbaijan,AZE,2020,13726.77,Asia,NA,-4.952700245069231,15.129
Azerbaijan,AZE,2021,14431.661,Asia,NA,5.135155611990291,14.691
Bahrain,BHR,1990,36997.734,Asia,NA,NA,NA
Bahrain,BHR,1991,39769.312,Asia,NA,7.491210137355984,3.999
Bahrain,BHR,1992,40971.727,Asia,NA,3.023474482032782,3.849
Bahrain,BHR,1993,44690.414,Asia,NA,9.076227126086236,3.505
Bahrain,BHR,1994,43113.48,Asia,NA,-3.5285732640561216,3.836
Bahrain,BHR,1995,43369.152,Asia,NA,0.5930210226592673,3.883
Bahrain,BHR,1996,43737.188,Asia,NA,0.8486123962027204,4.099
Bahrain,BHR,1997,43716.02,Asia,NA,-0.04839817319761189,4.037
Bahrain,BHR,1998,44458.438,Asia,NA,1.69827445407886,4.065
Bahrain,BHR,1999,45053.746,Asia,NA,1.339021402416336,4.139
Bahrain,BHR,2000,46154.03,Asia,NA,2.4421587496853197,4.19
Bahrain,BHR,2001,46084.926,Asia,NA,-0.14972473692979651,4.238
Bahrain,BHR,2002,46478.207,Asia,NA,0.8533831648118578,4.115
Bahrain,BHR,2003,47504.56,Asia,NA,2.2082456838319846,3.978
Bahrain,BHR,2004,47455.24,Asia,NA,-0.10382161207260884,3.819
Bahrain,BHR,2005,46821.023,Asia,NA,-1.3364530450167293,3.757
Bahrain,BHR,2006,46303.49,Asia,NA,-1.105343213026343,3.865
Bahrain,BHR,2007,46792.176,Asia,NA,1.055397768073209,4.014
Bahrain,BHR,2008,46588.64,Asia,NA,-0.43497870242238795,4.28
Bahrain,BHR,2009,44972.746,Asia,NA,-3.4684292136452153,4.678
Bahrain,BHR,2010,45600.066,Asia,NA,1.3948892513701514,4.953
Bahrain,BHR,2011,46564.71,Asia,NA,2.1154443065937674,5.278
Bahrain,BHR,2012,47793.53,Asia,NA,2.6389512572933445,5.425
Bahrain,BHR,2013,48915.53,Asia,NA,2.347598095390736,5.439
Bahrain,BHR,2014,49117.99,Asia,NA,0.4138971815290545,5.402
Bahrain,BHR,2015,48453.727,Asia,NA,-1.352382294145178,5.427
Bahrain,BHR,2016,48486.305,Asia,NA,0.06723528202485093,5.53
Bahrain,BHR,2017,48929.445,Asia,NA,0.9139487944069968,5.607
Bahrain,BHR,2018,48937.66,Asia,NA,0.016789481262261985,5.64
Bahrain,BHR,2019,49768.977,Asia,NA,1.6987265022479527,5.654
Bahrain,BHR,2020,47847.84,Asia,NA,-3.860109481454687,6.365
Bahrain,BHR,2021,49387.418,Asia,NA,3.2176541302595925,6.034
Bangladesh,BGD,1990,1730.3689,Asia,NA,NA,NA
Bangladesh,BGD,1991,1756.3326,Asia,NA,1.5004719513856275,6.038
Bangladesh,BGD,1992,1818.1508,Asia,NA,3.519731968762633,6.114
Bangladesh,BGD,1993,1867.7809,Asia,NA,2.729702068717297,6.271
Bangladesh,BGD,1994,1903.5808,Asia,NA,1.9167076823625289,6.389
Bangladesh,BGD,1995,1964.0612,Asia,NA,3.177191112665149,6.523
Bangladesh,BGD,1996,2017.2135,Asia,NA,2.706244591563642,6.656
Bangladesh,BGD,1997,2070.4375,Asia,NA,2.6384911661556862,7.41
Bangladesh,BGD,1998,2137.1501,Asia,NA,3.2221499079300795,8.187
Bangladesh,BGD,1999,2194.5264,Asia,NA,2.684710821200643,8.971
Bangladesh,BGD,2000,2267.0754,Asia,NA,3.3059069145853046,9.746
Bangladesh,BGD,2001,2337.3645,Asia,NA,3.1004306252893024,8.823
Bangladesh,BGD,2002,2382.2815,Asia,NA,1.921694284310381,7.782
Bangladesh,BGD,2003,2451.9902,Asia,NA,2.926131945364145,6.606
Bangladesh,BGD,2004,2537.9507,Asia,NA,3.5057440278513217,7.758
Bangladesh,BGD,2005,2663.0962,Asia,30.99,4.930966547143729,8.79
Bangladesh,BGD,2006,2806.5928,Asia,32.26,5.388337079223797,7.255
Bangladesh,BGD,2007,2973.2812,Asia,NA,5.939172935952803,8.024
Bangladesh,BGD,2008,3124.2268,Asia,NA,5.076734753510701,8.797
Bangladesh,BGD,2009,3253.0913,Asia,NA,4.124684545949101,9.556
Bangladesh,BGD,2010,3395.3647,Asia,30.06,4.373483154315406,6.289
Bangladesh,BGD,2011,3571.0586,Asia,NA,5.174522194920615,7.429
Bangladesh,BGD,2012,3756.932,Asia,NA,5.204994395779447,8.538
Bangladesh,BGD,2013,3932.7083,Asia,32.04,4.678719231543185,9.674
Bangladesh,BGD,2014,4119.425,Asia,NA,4.747789201655267,10.121
