country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth,youth_unemployment_rate
Australia,AUS,1990,31006.1,Oceania,NA,NA,NA
Australia,AUS,1991,30496.127,Oceania,NA,-1.6447505490854966,17.476
Australia,AUS,1992,30285.854,Oceania,NA,-0.6895072282457411,19.272
Australia,AUS,1993,31232.586,Oceania,NA,3.1259874659634828,18.536
Australia,AUS,1994,32164.658,Oceania,NA,2.9842933915238405,16.872
Australia,AUS,1995,33044.844,Oceania,NA,2.7365004160777895,15.196
Australia,AUS,1996,33905.26,Oceania,NA,2.6037829078569863,15.641
Australia,AUS,1997,34852.75,Oceania,NA,2.794522147890911,15.839
Australia,AUS,1998,36099.023,Oceania,NA,3.5758240024101426,14.458
Australia,AUS,1999,37475.98,Oceania,NA,3.8143885500723997,13.111
Australia,AUS,2000,38494.887,Oceania,NA,2.7188268325471387,12.084
Australia,AUS,2001,38779.6,Oceania,NA,0.7396125100977594,13.476
Australia,AUS,2002,39872.15,Oceania,NA,2.817331793004577,12.794
Australia,AUS,2003,40642.562,Oceania,NA,1.932205812829247,11.962
Australia,AUS,2004,41905.85,Oceania,NA,3.10828830131329,11.366
Australia,AUS,2005,42704.44,Oceania,NA,1.9056766537368979,10.619
Australia,AUS,2006,43286.723,Oceania,NA,1.3635186411529943,10.026
Australia,AUS,2007,44109.668,Oceania,NA,1.9011487656388306,9.36
Australia,AUS,2008,44777.273,Oceania,NA,1.5135117317137894,8.814
Australia,AUS,2009,44684.402,Oceania,11.4,-0.2074065564466134,11.461
Australia,AUS,2010,44965.395,Oceania,11.32,0.628839119297143,11.548
Australia,AUS,2011,45405.367,Oceania,10.59,0.9784679974455948,11.37
Australia,AUS,2012,46360.605,Oceania,9.91,2.103799755654447,11.728
Australia,AUS,2013,46744.625,Oceania,11.02,0.828332589706275,12.22
Australia,AUS,2014,47240.273,Oceania,10.09,1.060331535443917,13.311
Australia,AUS,2015,47567.68,Oceania,9.8,0.6930675442963661,13.11
Australia,AUS,2016,48109.203,Oceania,8.69,1.138426343265009,12.642
Australia,AUS,2017,48400.246,Oceania,8.94,0.6049632541200024,12.592
Australia,AUS,2018,49052.816,Oceania,NA,1.3482782711476295,11.787
Australia,AUS,2019,49379.094,Oceania,NA,0.6651565121154277,11.756
Australia,AUS,2020,48747.85,Oceania,NA,-1.278362863441761,14.219
Australia,AUS,2021,49774.34,Oceania,NA,2.1057133801798398,11.248
Fiji,FJI,1990,7889.8784,Oceania,NA,NA,NA
Fiji,FJI,1991,7633.7935,Oceania,NA,-3.2457395034123704,10.434
