country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth,youth_unemployment_rate
Argentina,ARG,1990,14136.525,South America,NA,NA,NA
Argentina,ARG,1991,15209.487,South America,NA,7.589998249216123,11.633
Argentina,ARG,1992,16190.511,South America,NA,6.45007947999825,13.794
Argentina,ARG,1993,17282.965,South America,NA,6.7474954928846875,22.198
Argentina,ARG,1994,18046.893,South America,NA,4.4201212002685875,25.788
Argentina,ARG,1995,17303.924,South America,NA,-4.116880395977307,40.689
Argentina,ARG,1996,18031.549,South America,NA,4.204971080547973,37.012
Argentina,ARG,1997,19261.898,South America,NA,6.823312850160583,32.265
Argentina,ARG,1998,19773.176,South America,NA,2.6543490158654066,27.73
Argentina,ARG,1999,18884.943,South America,NA,-4.492110928461872,30.512
Argentina,ARG,2000,18524.81,South America,NA,-1.9069848397212426,32.348
Argentina,ARG,2001,17514.504,South America,NA,-5.453799526148988,37.036
Argentina,ARG,2002,15439.745,South America,NA,-11.845947792755078,41.378
Argentina,ARG,2003,16631.574,South America,NA,7.719227228169894,32.933
Argentina,ARG,2004,17950.15,South America,20.98,7.928149193816537,29.544
Argentina,ARG,2005,19338.146,South America,19.87,7.73250362810338,26.207
Argentina,ARG,2006,20679.242,South America,19.51,6.934977117247939,23.777
Argentina,ARG,2007,22316.256,South America,NA,7.916218592538368,20.241
Argentina,ARG,2008,22992.39,South America,19.42,3.029782415114785,18.927
Argentina,ARG,2009,21413.283,South America,20.04,-6.867955005982414,21.184
Argentina,ARG,2010,23521.27,South America,19.46,9.844296178217983,19.381
Argentina,ARG,2011,24647.629,South America,18.4,4.788682753949937,18.71
Argentina,ARG,2012,24118.867,South America,18.41,-2.1452854552460296,18.34
Argentina,ARG,2013,24424.137,South America,19.07,1.2656896362503283,19.555
Argentina,ARG,2014,23550.1,South America,19.67,-3.5785788459997594,19.137
Argentina,ARG,2015,23933.887,South America,NA,1.6296618698009788,20.27
Argentina,ARG,2016,23189.527,South America,NA,-3.1100673283867373,21.793
Argentina,ARG,2017,23597.117,South America,19.25,1.7576468894773065,22.843
Argentina,ARG,2018,22747.242,South America,19.02,-3.6016052299948336,23.845
Argentina,ARG,2019,22071.748,South America,19.23,-2.9695643981806623,25.842
Argentina,ARG,2020,19685.217,South America,22.33,-10.812605326954616,30.428
Argentina,ARG,2021,21527.195,South America,16.12,9.357163804696688,23.373
Bolivia (Plurinational State of),BOL,1990,4437.8667,South America,NA,NA,NA
Bolivia (Plurinational State of),BOL,1991,4575.7065,South America,NA,3.105992345376229,4.827
Bolivia (Plurinational State of),BOL,1992,4556.9937,South America,NA,-0.4089597967002525,4.906
Bolivia (Plurinational State of),BOL,1993,4657.0303,South America,NA,2.1952323524169097,4.93
Bolivia (Plurinational State of),BOL,1994,4779.8394,South America,NA,2.6370689492829684,4.966
Bolivia (Plurinational State of),BOL,1995,4909.178,South America,NA,2.705919366244817,4.405
Bolivia (Plurinational State of),BOL,1996,5028.4443,South America,NA,2.429455603361708,3.946
Bolivia (Plurinational State of),BOL,1997,5181.4165,South America,NA,3.0421377044983906,3.481
Bolivia (Plurinational State of),BOL,1998,5343.9575,South America,NA,3.136999312832701,3.671
Bolivia (Plurinational State of),BOL,1999,5270.0273,South America,13.35,-1.3834354034439962,3.987
Bolivia (Plurinational State of),BOL,2000,5305.619,South America,14.37,0.6753608278272096,4.274
Bolivia (Plurinational State of),BOL,2001,5300.3145,South America,22.93,-0.09997890915271676,4.604
Bolivia (Plurinational State of),BOL,2002,5337.7656,South America,21.38,0.7065825999570273,4.754
Bolivia (Plurinational State of),BOL,2003,5387.5815,South America,NA,0.9332725288648964,4.965
Bolivia (Plurinational State of),BOL,2004,5515.656,South America,13.08,2.377216938620784,5.088
Bolivia (Plurinational State of),BOL,2005,5660.5747,South America,12.08,2.6274064227355765,5.226
Bolivia (Plurinational State of),BOL,2006,5829.371,South America,10.79,2.9819640044676023,5.352
Bolivia (Plurinational State of),BOL,2007,5989.69,South America,11.02,2.750193803070683,5.549
Bolivia (Plurinational State of),BOL,2008,6248.934,South America,9.69,4.328170573101456,5.686
Bolivia (Plurinational State of),BOL,2009,6349.008,South America,9.18,1.6014571445305648,5.283
Bolivia (Plurinational State of),BOL,2010,6499.8184,South America,NA,2.3753380055592985,5.283
Bolivia (Plurinational State of),BOL,2011,6724.301,South America,10.85,3.453674951903276,5.327
Bolivia (Plurinational State of),BOL,2012,6952.7383,South America,10.41,3.3971902804469876,3.361
Bolivia (Plurinational State of),BOL,2013,7305.228,South America,10.45,5.069796744686911,5.392
Bolivia (Plurinational State of),BOL,2014,7581.5986,South America,11.16,3.7831892447436304,4.774
Bolivia (Plurinational State of),BOL,2015,7825.7666,South America,14.56,3.220534518933773,6.852
Bolivia (Plurinational State of),BOL,2016,8034.173,South America,10.79,2.6630796783538093,6.772
Bolivia (Plurinational State of),BOL,2017,8244.934,South America,11.58,2.623306717443096,6.654
Bolivia (Plurinational State of),BOL,2018,8466.293,South America,10.83,2.6847880164959528,6.78
Bolivia (Plurinational State of),BOL,2019,8528.749,South America,10.24,0.7377018489674304,6.927
Bolivia (Plurinational State of),BOL,2020,7679.933,South America,13.7,-9.952409198582346,15.231
Bolivia (Plurinational State of),BOL,2021,8052.1772,South America,10.98,4.84697197228153,8.199
Brazil,BRA,1990,10401.843,South America,NA,NA,NA
Brazil,BRA,1991,10328.957,South America,NA,-0.700702750464513,12.763
Brazil,BRA,1992,10103.788,South America,NA,-2.1799780945936735,13.119
Brazil,BRA,1993,10431.409,South America,NA,3.2425561581458275,11.406
Brazil,BRA,1994,10867.751,South America,NA,4.182963202765806,12.353
Brazil,BRA,1995,11151.191,South America,20.29,2.6080833099691048,13.261
Brazil,BRA,1996,11224.399,South America,20.81,0.6565038658202402,14.628
Brazil,BRA,1997,11432.65,South America,20.49,1.8553420989399987,16.616
Brazil,BRA,1998,11304.097,South America,20.25,-1.124437466379185,19.251
Brazil,BRA,1999,11196.839,South America,19.71,-0.9488418225710538,20.639
Brazil,BRA,2000,11529.486,South America,NA,2.9709009837508678,20.327
Brazil,BRA,2001,11536.364,South America,19.65,0.05965573833906205,20.019
Brazil,BRA,2002,11739.432,South America,19.24,1.76024265531151,20.603
Brazil,BRA,2003,11733.411,South America,19.28,-0.05128868245074072,21.382
Brazil,BRA,2004,12268.664,South America,18.99,4.561785145001744,20.034
Brazil,BRA,2005,12520.855,South America,19.07,2.055570190853697,21.399
Brazil,BRA,2006,12877.444,South America,19.24,2.847960462763924,19.883
Brazil,BRA,2007,13518.848,South America,19.18,4.980833152914511,18.795
Brazil,BRA,2008,14067.946,South America,18.32,4.061721827185274,17.556
Brazil,BRA,2009,13916.963,South America,18.79,-1.0732412535561353,19.774
Brazil,BRA,2010,14824.741,South America,NA,6.522816795589671,18.242
Brazil,BRA,2011,15271.47,South America,19.4,3.013401718114329,16.928
Brazil,BRA,2012,15425.353,South America,20.54,1.0076502131098042,15.854
Brazil,BRA,2013,15751.484,South America,20.9,2.114253074143595,15.7
Brazil,BRA,2014,15695.644,South America,20.69,-0.3545062801701741,15.496
Brazil,BRA,2015,15011.577,South America,22.1,-4.358323876357038,19.493
Brazil,BRA,2016,14402.494,South America,23.8,-4.057421815176372,26.596
Brazil,BRA,2017,14477.861,South America,24.87,0.5232913132961569,28.594
Brazil,BRA,2018,14619.591,South America,24.6,0.9789429529679803,27.958
Brazil,BRA,2019,14685.128,South America,23.99,0.44828203470261413,27.098
Brazil,BRA,2020,14021.958,South America,25.99,-4.515929312975685,30.267
Brazil,BRA,2021,14592.353,South America,23.38,4.067869836723221,28.311
Chile,CHL,1990,9701.824,South America,28.14,NA,NA
Chile,CHL,1991,10290.04,South America,NA,6.06294239103905,11.84
Chile,CHL,1992,11256.21,South America,24.09,9.389370692436552,10.23
Chile,CHL,1993,11812.649,South America,NA,4.9433956900235545,10.512
Chile,CHL,1994,12221.508,South America,24.57,3.4611965529493034,12.814
Chile,CHL,1995,13122.946,South America,NA,7.375832835031488,10.767
Chile,CHL,1996,13825.156,South America,20.83,5.351008835973271,17.891
Chile,CHL,1997,14652.775,South America,NA,5.986326664234376,17.586
Chile,CHL,1998,15074.58,South America,23.26,2.8786697400321803,17.857
Chile,CHL,1999,14855.357,South America,NA,-1.4542561053110599,25.342
Chile,CHL,2000,15415.754,South America,24.03,3.77235632910068,24.745
Chile,CHL,2001,15725.602,South America,NA,2.009943853540994,24.559
Chile,CHL,2002,16053.654,South America,NA,2.0861013778677577,24.977
Chile,CHL,2003,16636.654,South America,20.54,3.631571977320541,24.725
Chile,CHL,2004,17571.025,South America,NA,5.616339679841889,24.52
Chile,CHL,2005,18415.756,South America,NA,4.807522611799822,23.407
Chile,CHL,2006,19339.488,South America,19.89,5.015987396879063,22.111
Chile,CHL,2007,20140.53,South America,NA,4.142002104709275,21.64
Chile,CHL,2008,20695.562,South America,NA,2.75579639661917,23.763
Chile,CHL,2009,20255.1,South America,23.2,-2.1282920463817465,26.739
Chile,CHL,2010,21225.104,South America,19.16,4.788937107197698,18.634
Chile,CHL,2011,22323.723,South America,19.17,5.17603588656151,17.667
Chile,CHL,2012,23467.979,South America,17.86,5.12574000313477,16.484
Chile,CHL,2013,24011.592,South America,18.31,2.3164031295579446,16.127
Chile,CHL,2014,24197.184,South America,18.63,0.7729266764152938,16.467
Chile,CHL,2015,24464.746,South America,19.15,1.1057567690521264,15.282
Chile,CHL,2016,24599.375,South America,17.1,0.5502979675325499,15.473
Chile,CHL,2017,24546.912,South America,16.52,-0.2132696460784054,17.732
Chile,CHL,2018,25071.99,South America,15.82,2.139079652870395,18.138
Chile,CHL,2019,24816.611,South America,16.5,-1.0185828887136632,18.953
Chile,CHL,2020,23017.69,South America,20.52,-7.24885843598871,24.377
Chile,CHL,2021,25449.13,South America,16.27,10.563353664073166,20.477
Colombia,COL,1990,8434.959,South America,NA,NA,NA
Colombia,COL,1991,8430.223,South America,NA,-0.05614727943551102,19.107
Colombia,COL,1992,8598.992,South America,NA,2.0019517870405115,18.037
Colombia,COL,1993,8885.187,South America,NA,3.3282389377731683,14.873
Colombia,COL,1994,9220.502,South America,NA,3.7738654234289104,15.712
Colombia,COL,1995,9518.26,South America,NA,3.2293035672027384,16.406
Colombia,COL,1996,9538.272,South America,NA,0.210248511807837,21.879
Colombia,COL,1997,9691.028,South America,NA,1.6015060170227837,22.471
Colombia,COL,1998,9578.656,South America,NA,-1.1595467477753587,27.606
Colombia,COL,1999,9023.621,South America,NA,-5.794497683182293,36.516
Colombia,COL,2000,9138.319,South America,NA,1.2710861859114022,37.398
Colombia,COL,2001,9146.405,South America,NA,0.08848454513353222,27.488
Colombia,COL,2002,9232.627,South America,29.94,0.9426873181320939,26.895
Colombia,COL,2003,9453.328,South America,28.09,2.390446402741052,25.154
Colombia,COL,2004,9816.277,South America,28.74,3.839378047603982,26.324
Colombia,COL,2005,10150.708,South America,27.72,3.4069026373237077,22.595
Colombia,COL,2006,10692.728,South America,NA,5.3397260565469775,22.332
Colombia,COL,2007,11272.578,South America,26.69,5.422844385455241,22.195
Colombia,COL,2008,11507.525,South America,25.54,2.084234857368032,22.804
Colombia,COL,2009,11507.717,South America,24.96,0.0016684734554208377,23.542
