continent,year,cont_avg_gdp_growth
North America,1990,NA
North America,1991,-0.14845308209637428
North America,1992,-7.146042532815058
North America,1993,-7.230753056997344
North America,1994,-13.599047409223145
North America,1995,7.86287521429439
North America,1996,2.220589655471953
North America,1997,0.8287008982510098
North America,1998,0.33461122334734206
North America,1999,0.8579074938249655
North America,2000,-0.9552517359466766
North America,2001,-2.1165819635025467
North America,2002,-0.6960613633991303
North America,2003,1.7111451547057706
North America,2004,-2.961304479277117
North America,2005,1.3707545592604051
North America,2006,0.07314933325457822
North America,2007,2.9889419793433216
North America,2008,1.0024538268353382
North America,2009,4.199388898127046
North America,2010,-6.727405989248463
North America,2011,3.9217175446129087
North America,2012,-1.0309572681452024
North America,2013,2.7726333058187804
North America,2014,0.24222148682940545
North America,2015,1.0963040084295197
North America,2016,0.3861578762163742
North America,2017,1.0977343702602331
North America,2018,0.2933568580964768
North America,2019,-2.9885196819884157
North America,2020,-4.594566239516444
North America,2021,-3.005803069011699
