country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth
Afghanistan,AFG,2002,1280.4631,Asia,NA,NA
Afghanistan,AFG,2003,1292.3335,Asia,NA,0.9270395999697312
Afghanistan,AFG,2004,1260.0605,Asia,NA,-2.4972656052017466
Afghanistan,AFG,2005,1352.3207,Asia,NA,7.321886528464303
Afghanistan,AFG,2006,1366.9932,Asia,NA,1.084986719496337
Afghanistan,AFG,2007,1528.3446,Asia,NA,11.803379855876388
Afghanistan,AFG,2008,1556.8445,Asia,NA,1.8647561551236564
Afghanistan,AFG,2009,1823.7426,Asia,NA,17.14352974879637
Afghanistan,AFG,2010,2026.1638,Asia,NA,11.099219813146878
Afghanistan,AFG,2011,1961.0963,Asia,NA,-3.2113642539660465
Afghanistan,AFG,2012,2122.8308,Asia,NA,8.247147271656178
Afghanistan,AFG,2013,2165.3408,Asia,NA,2.0025147552974905
Afghanistan,AFG,2014,2144.4497,Asia,35.06,-0.9647950105590688
Afghanistan,AFG,2015,2108.714,Asia,NA,-1.6664275221750446
Afghanistan,AFG,2016,2101.422,Asia,NA,-0.34580317672287075
Afghanistan,AFG,2017,2096.093,Asia,42.84,-0.2535901879774828
Afghanistan,AFG,2018,2060.699,Asia,NA,-1.6885701159251896
Afghanistan,AFG,2019,2079.9219,Asia,NA,0.9328339558567144
Afghanistan,AFG,2020,1968.341,Asia,53.76,-5.36466777911228
Afghanistan,AFG,2021,1516.3057,Asia,62.81,-22.96529412332518
Bangladesh,BGD,1990,1730.3689,Asia,NA,NA
Bangladesh,BGD,1991,1756.3326,Asia,NA,1.5004719513856275
Bangladesh,BGD,1992,1818.1508,Asia,NA,3.519731968762633
Bangladesh,BGD,1993,1867.7809,Asia,NA,2.729702068717297
Bangladesh,BGD,1994,1903.5808,Asia,NA,1.9167076823625289
Bangladesh,BGD,1995,1964.0612,Asia,NA,3.177191112665149
Bangladesh,BGD,1996,2017.2135,Asia,NA,2.706244591563642
Bangladesh,BGD,1997,2070.4375,Asia,NA,2.6384911661556862
Bangladesh,BGD,1998,2137.1501,Asia,NA,3.2221499079300795
Bangladesh,BGD,1999,2194.5264,Asia,NA,2.684710821200643
Bangladesh,BGD,2000,2267.0754,Asia,NA,3.3059069145853046
Bangladesh,BGD,2001,2337.3645,Asia,NA,3.1004306252893024
Bangladesh,BGD,2002,2382.2815,Asia,NA,1.921694284310381
Bangladesh,BGD,2003,2451.9902,Asia,NA,2.926131945364145
Bangladesh,BGD,2004,2537.9507,Asia,NA,3.5057440278513217
Bangladesh,BGD,2005,2663.0962,Asia,30.99,4.930966547143729
Bangladesh,BGD,2006,2806.5928,Asia,32.26,5.388337079223797
Bangladesh,BGD,2007,2973.2812,Asia,NA,5.939172935952803
Bangladesh,BGD,2008,3124.2268,Asia,NA,5.076734753510701
Bangladesh,BGD,2009,3253.0913,Asia,NA,4.124684545949101
Bangladesh,BGD,2010,3395.3647,Asia,30.06,4.373483154315406
Bangladesh,BGD,2011,3571.0586,Asia,NA,5.174522194920615
Bangladesh,BGD,2012,3756.932,Asia,NA,5.204994395779447
Bangladesh,BGD,2013,3932.7083,Asia,32.04,4.678719231543185
Bangladesh,BGD,2014,4119.425,Asia,NA,4.747789201655267
Bangladesh,BGD,2015,4337.3857,Asia,NA,5.291046687341064
Bangladesh,BGD,2016,4589.0938,Asia,28.88,5.80322151198128
Bangladesh,BGD,2017,4830.776,Asia,27.39,5.266447157824497
Bangladesh,BGD,2018,5124.4985,Asia,NA,6.08023431432134
Bangladesh,BGD,2019,5467.208,Asia,NA,6.687669047029675
Bangladesh,BGD,2020,5591.374,Asia,NA,2.271104373566913
Bangladesh,BGD,2021,5911.013,Asia,NA,5.716644960612546
Cambodia,KHM,1993,1716.841,Asia,NA,NA
Cambodia,KHM,1994,1077.8984,Asia,NA,-37.21617785222976
Cambodia,KHM,1995,1153.9265,Asia,NA,7.053364213176307
Cambodia,KHM,1996,1193.2308,Asia,7.04,3.406135486098986
Cambodia,KHM,1997,1214.0117,Asia,11.24,1.7415658395676654
Cambodia,KHM,1998,1244.981,Asia,21.08,2.5509885942614865
Cambodia,KHM,1999,1376.0468,Asia,6.39,10.527534155139724
Cambodia,KHM,2000,1486.107,Asia,10.34,7.998289011681862
Cambodia,KHM,2001,1578.6277,Asia,6.13,6.22570918513943
Cambodia,KHM,2002,1652.5381,Asia,NA,4.68193988994365
Cambodia,KHM,2003,1761.4211,Asia,10.32,6.588834472258161
Cambodia,KHM,2004,1909.4185,Asia,NA,8.402158915888993
Cambodia,KHM,2005,2124.8374,Asia,NA,11.281911220615068
Cambodia,KHM,2006,2313.3303,Asia,NA,8.870932900559836
Cambodia,KHM,2007,2505.5203,Asia,8.05,8.307935965737363
Cambodia,KHM,2008,2629.259,Asia,8.63,4.938642883875252
Cambodia,KHM,2009,2592.1555,Asia,7.13,-1.41117706547739
Cambodia,KHM,2010,2706.9917,Asia,5.31,4.430143176209922
Cambodia,KHM,2011,2856.5308,Asia,5.1,5.524180218210494
Cambodia,KHM,2012,3021.3323,Asia,12.72,5.769288396960398
Cambodia,KHM,2013,3197.532,Asia,6.34,5.831854377620102
Cambodia,KHM,2014,3378.3645,Asia,6.32,5.65537733476944
Cambodia,KHM,2015,3565.245,Asia,6.59,5.531685524164126
Cambodia,KHM,2016,3761.9114,Asia,6.41,5.516209965935022
Cambodia,KHM,2017,3972.724,Asia,6.46,5.603869352159655
Cambodia,KHM,2018,4217.6216,Asia,NA,6.164475558835707
Cambodia,KHM,2019,4464.2944,Asia,11.38,5.848623309402611
Cambodia,KHM,2020,4276.1846,Asia,NA,-4.2136513219199925
Cambodia,KHM,2021,4354.5654,Asia,NA,1.8329610934008984
East Timor,TLS,2000,2314.81,Asia,NA,NA
