country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth
Haiti,HTI,1990,3598.9822,North America,NA,NA
Haiti,HTI,1991,3593.6394,North America,NA,-0.14845308209637428
Haiti,HTI,1992,3336.8364,North America,NA,-7.146042532815058
Haiti,HTI,1993,3095.558,North America,NA,-7.230753056997344
Haiti,HTI,1994,2674.5916,North America,NA,-13.599047409223145
Haiti,HTI,1995,2884.8914,North America,NA,7.86287521429439
Haiti,HTI,1996,2948.953,North America,NA,2.220589655471953
Haiti,HTI,1997,2973.391,North America,NA,0.8287008982510098
Haiti,HTI,1998,2983.3403,North America,NA,0.33461122334734206
Haiti,HTI,1999,3008.9346,North America,NA,0.8579074938249655
Haiti,HTI,2000,2980.1917,North America,NA,-0.9552517359466766
Haiti,HTI,2001,2917.1135,North America,NA,-2.1165819635025467
Haiti,HTI,2002,2896.8086,North America,NA,-0.6960613633991303
Haiti,HTI,2003,2946.3772,North America,NA,1.7111451547057706
Haiti,HTI,2004,2859.126,North America,NA,-2.961304479277117
Haiti,HTI,2005,2898.3176,North America,NA,1.3707545592604051
Haiti,HTI,2006,2900.4377,North America,NA,0.07314933325457822
Haiti,HTI,2007,2987.1301,North America,NA,2.9889419793433216
Haiti,HTI,2008,3017.0747,North America,NA,1.0024538268353382
Haiti,HTI,2009,3143.7734,North America,NA,4.199388898127046
Haiti,HTI,2010,2932.279,North America,NA,-6.727405989248463
Haiti,HTI,2011,3047.2747,North America,NA,3.9217175446129087
Haiti,HTI,2012,3015.8586,North America,21.09,-1.0309572681452024
Haiti,HTI,2013,3099.4773,North America,NA,2.7726333058187804
Haiti,HTI,2014,3106.9849,North America,NA,0.24222148682940545
Haiti,HTI,2015,3141.0469,North America,NA,1.0963040084295197
Haiti,HTI,2016,3153.1763,North America,NA,0.3861578762163742
Haiti,HTI,2017,3187.7898,North America,NA,1.0977343702602331
Haiti,HTI,2018,3197.1414,North America,NA,0.2933568580964768
Haiti,HTI,2019,3101.5942,North America,NA,-2.9885196819884157
Haiti,HTI,2020,2959.0894,North America,NA,-4.594566239516444
Haiti,HTI,2021,2870.145,North America,NA,-3.005803069011699
