country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth
Kiribati,KIR,1990,2045.2368,Oceania,NA,NA
Kiribati,KIR,1991,2005.5131,Oceania,NA,-1.9422543150015692
Kiribati,KIR,1992,1989.6298,Oceania,NA,-0.7919818623972072
Kiribati,KIR,1993,1976.6847,Oceania,NA,-0.6506285742201846
Kiribati,KIR,1994,1981.4297,Oceania,NA,0.2400484002329704
Kiribati,KIR,1995,1951.8351,Oceania,NA,-1.4935982841076774
Kiribati,KIR,1996,1952.5427,Oceania,NA,0.03625306256660497
Kiribati,KIR,1997,1950.3318,Oceania,NA,-0.1132318386686262
Kiribati,KIR,1998,2041.9646,Oceania,NA,4.698318511752722
Kiribati,KIR,1999,1976.3684,Oceania,NA,-3.2124063267306373
Kiribati,KIR,2000,2063.556,Oceania,NA,4.411505466288571
Kiribati,KIR,2001,1994.9175,Oceania,NA,-3.326224245913366
Kiribati,KIR,2002,2028.5942,Oceania,NA,1.6881249475228917
Kiribati,KIR,2003,2027.5582,Oceania,NA,-0.05106984925817387
Kiribati,KIR,2004,1954.683,Oceania,NA,-3.594234680908294
Kiribati,KIR,2005,2010.9288,Oceania,NA,2.8774895980575836
Kiribati,KIR,2006,1971.3988,Oceania,NA,-1.9657583102892544
Kiribati,KIR,2007,1973.7498,Oceania,NA,0.11925542411814966
Kiribati,KIR,2008,1895.8898,Oceania,NA,-3.944775573884802
Kiribati,KIR,2009,1874.5094,Oceania,NA,-1.1277237738184998
Kiribati,KIR,2010,1819.2013,Oceania,NA,-2.9505373512664153
Kiribati,KIR,2011,1819.6566,Oceania,NA,0.02502746672400021
Kiribati,KIR,2012,1883.1735,Oceania,NA,3.490598171105475
Kiribati,KIR,2013,1932.2354,Oceania,NA,2.605277739942704
Kiribati,KIR,2014,1883.2306,Oceania,NA,-2.5361713174285043
Kiribati,KIR,2015,2038.4865,Oceania,46.89,8.244125812314214
Kiribati,KIR,2016,1997.8229,Oceania,NA,-1.9947936863942972
Kiribati,KIR,2017,1962.3196,Oceania,NA,-1.7770994616189382
Kiribati,KIR,2018,2033.7283,Oceania,NA,3.638994381954904
Kiribati,KIR,2019,1990.518,Oceania,52.01,-2.124684010150223
Kiribati,KIR,2020,1944.8469,Oceania,47.58,-2.2944329064092877
Kiribati,KIR,2021,1937.0894,Oceania,NA,-0.39887458493519135
Solomon Islands,SLB,1990,2192.065,Oceania,NA,NA
Solomon Islands,SLB,1991,2255.5342,Oceania,NA,2.8954068424065893
Solomon Islands,SLB,1992,2468.34,Oceania,NA,9.43482923025508
Solomon Islands,SLB,1993,2493.3425,Oceania,NA,1.0129277166030632
Solomon Islands,SLB,1994,2618.261,Oceania,NA,5.010081847961111
Solomon Islands,SLB,1995,2800.327,Oceania,NA,6.953699421104323
Solomon Islands,SLB,1996,2765.2217,Oceania,NA,-1.2536143100430832
Solomon Islands,SLB,1997,2664.1682,Oceania,NA,-3.6544447774296
Solomon Islands,SLB,1998,2625.2183,Oceania,NA,-1.4619910259419833
Solomon Islands,SLB,1999,2543.3958,Oceania,NA,-3.1167884209857983
Solomon Islands,SLB,2000,2125.7705,Oceania,NA,-16.41998858376662
Solomon Islands,SLB,2001,1910.3496,Oceania,NA,-10.133779728338505
Solomon Islands,SLB,2002,1814.1626,Oceania,NA,-5.03504698825806
