continent,year,cont_avg_gdp_growth
Africa,1990,NA
Africa,1991,-0.057222101586037424
Africa,1992,1.250883252044549
Africa,1993,-0.662387287100974
Africa,1994,1.701355632910361
Africa,1995,2.0890944991143408
Africa,1996,6.40857783984205
Africa,1997,9.343130273358085
Africa,1998,3.252860909139392
Africa,1999,1.6464605414012254
Africa,2000,2.125995453887215
Africa,2001,3.1164185767849846
Africa,2002,1.4545317505471373
Africa,2003,1.627635022994004
Africa,2004,3.8191183707840035
Africa,2005,3.1831468528953284
Africa,2006,3.4018100267520928
Africa,2007,3.2946335224112775
Africa,2008,1.2065614990242495
Africa,2009,0.09450710300985136
Africa,2010,3.5034114378809122
Africa,2011,0.5002440838581429
Africa,2012,7.160133911375355
Africa,2013,1.1185992931861672
Africa,2014,1.4838024139306123
Africa,2015,0.0474133278546773
Africa,2016,-0.24971767409777718
Africa,2017,2.0456666267565593
Africa,2018,1.0718996473634517
Africa,2019,-0.1722519664559826
Africa,2020,-7.0353115382896405
Africa,2021,4.292100343963175
Asia,1990,NA
Asia,1991,-1.0693382198129096
Asia,1992,-1.777520377165138
Asia,1993,0.7886094283107715
Asia,1994,-0.6100856482632673
Asia,1995,1.844098507184356
Asia,1996,2.907653127310373
Asia,1997,2.9318507743533386
Asia,1998,1.2694212177112207
Asia,1999,2.5761425226495156
Asia,2000,4.057711279746925
Asia,2001,1.3931922921488429
Asia,2002,2.542430215598967
Asia,2003,4.307039107589541
Asia,2004,7.588230736880098
Asia,2005,4.50653351996097
Asia,2006,5.790970658012761
Asia,2007,5.423865522383443
Asia,2008,2.8861803533047485
Asia,2009,-0.5649639047868532
Asia,2010,4.729196830227938
Asia,2011,4.7588601896850236
Asia,2012,3.2656243049394913
Asia,2013,2.844103914552518
Asia,2014,1.7570545473270303
Asia,2015,1.1451026075379034
Asia,2016,2.434137162079392
Asia,2017,2.421356122361201
Asia,2018,2.319704906090447
Asia,2019,1.6126620248331334
Asia,2020,-6.975468702868022
Asia,2021,5.313314868522449
Europe,1990,NA
Europe,1991,-2.3196090918688173
Europe,1992,-1.506105173068729
Europe,1993,-0.8654427725849423
Europe,1994,1.2725341401146755
Europe,1995,3.1047759408076954
Europe,1996,4.628594858264727
Europe,1997,4.021872068143255
Europe,1998,3.758245269474313
Europe,1999,2.489576205854873
Europe,2000,5.045873787655046
Europe,2001,3.3315459224021624
Europe,2002,3.10857296060477
Europe,2003,3.347582868252507
Europe,2004,4.861890755708992
Europe,2005,4.0618786180330195
Europe,2006,5.0910475947630385
Europe,2007,5.144418187470587
Europe,2008,2.1023634066678456
Europe,2009,-5.099145563000873
Europe,2010,1.8033307503604297
Europe,2011,1.7732081907445383
Europe,2012,-0.17589193194242933
Europe,2013,0.932424708040706
Europe,2014,1.7096021465214082
Europe,2015,2.5982869461075513
Europe,2016,2.4215709711057767
Europe,2017,3.305424632661825
Europe,2018,3.0846612972150154
Europe,2019,2.6339403874815015
Europe,2020,-4.724423997001921
Europe,2021,6.679676170300374
North America,1990,NA
North America,1991,0.4112600172299639
North America,1992,2.7884357519490637
North America,1993,2.258939165375452
North America,1994,1.432982302671566
North America,1995,1.546405136874655
North America,1996,2.016556241239713
North America,1997,3.2556424975219627
North America,1998,2.802286912150542
North America,1999,2.8132050099818984
North America,2000,3.5498065125052136
North America,2001,0.7109005686646204
North America,2002,0.9756913792427733
North America,2003,2.3656551081498036
North America,2004,2.9043578846186033
North America,2005,2.7116983846223355
North America,2006,3.784111640548777
North America,2007,2.913018144040261
North America,2008,1.12635892717925
North America,2009,-4.42391195446473
