country,code,year,gdp_pc_2017,continent,youth_NIEET,gdp_growth
Albania,ALB,1990,4827.9053,Europe,NA,NA
Albania,ALB,1991,3497.0054,Europe,NA,-27.566818678071424
Albania,ALB,1992,3265.4143,Europe,NA,-6.622554829340557
Albania,ALB,1993,3599.4646,Europe,NA,10.229951525599674
Albania,ALB,1994,3922.3281,Europe,NA,8.969764558873571
Albania,ALB,1995,4472.415,Europe,NA,14.024499888216893
Albania,ALB,1996,4909.825,Europe,NA,9.780174693090869
Albania,ALB,1997,4401.113,Europe,NA,-10.361102483286055
Albania,ALB,1998,4819.9443,Europe,NA,9.51648594344203
Albania,ALB,1999,5475.845,Europe,NA,13.608055595165284
Albania,ALB,2000,5893.654,Europe,NA,7.630037007986898
Albania,ALB,2001,6442.612,Europe,NA,9.314391377573228
Albania,ALB,2002,6755.1094,Europe,41.8,4.850476794194656
Albania,ALB,2003,7155.2964,Europe,NA,5.924211975012572
Albania,ALB,2004,7581.5063,Europe,NA,5.956565265416536
Albania,ALB,2005,8041.5435,Europe,35.19,6.067886535951303
Albania,ALB,2006,8570.107,Europe,NA,6.572911033808375
Albania,ALB,2007,9151.78,Europe,33.77,6.787231477973386
Albania,ALB,2008,9913.951,Europe,28.17,8.328117590239259
Albania,ALB,2009,10315.777,Europe,30.73,4.053136837170175
Albania,ALB,2010,10751.421,Europe,29.72,4.223084698321806
Albania,ALB,2011,11054.788,Europe,30.01,2.821645622471673
Albania,ALB,2012,11229.992,Europe,27.65,1.584869831967829
Albania,ALB,2013,11363.318,Europe,30.98,1.1872314779921402
Albania,ALB,2014,11588.925,Europe,31.39,1.9853972228885963
Albania,ALB,2015,11880.598,Europe,29.82,2.516825331081189
Albania,ALB,2016,12294.077,Europe,27.39,3.4802877767600533
Albania,ALB,2017,12773.269,Europe,26.23,3.897746858100864
Albania,ALB,2018,13319.495,Europe,26.61,4.276321120302097
Albania,ALB,2019,13655.665,Europe,25.82,2.523894486990686
Albania,ALB,2020,13256.125,Europe,NA,-2.9258186986865953
Albania,ALB,2021,14518.906,Europe,NA,9.526019104376283
Austria,AUT,1990,37494.56,Europe,NA,NA
Austria,AUT,1991,38399.676,Europe,NA,2.4139928565637305
Austria,AUT,1992,38774.492,Europe,NA,0.9760915691059447
Austria,AUT,1993,38658.65,Europe,NA,-0.29875826613020984
Austria,AUT,1994,39435.21,Europe,NA,2.0087612992176336
Austria,AUT,1995,40425.395,Europe,NA,2.510916006279661
Austria,AUT,1996,41319.375,Europe,NA,2.2114317002963193
Austria,AUT,1997,42136.664,Europe,NA,1.9779800638320328
Austria,AUT,1998,43597.89,Europe,NA,3.4678255497397767
Austria,AUT,1999,45060.617,Europe,NA,3.35504080587386
