country,code,Status
Afghanistan,AFG,Least Developed Country
Angola,AGO,Least Developed Country
Bangladesh,BGD,Least Developed Country
Benin,BEN,Least Developed Country
Burkina Faso,BFA,Least Developed Country
Burundi,BDI,Least Developed Country
Cambodia,KHM,Least Developed Country
Central African Republic,CAF,Least Developed Country
Chad,TCD,Least Developed Country
Comoros,COM,Least Developed Country
Democratic Republic of Congo,COD,Least Developed Country
Djibouti,DJI,Least Developed Country
Ethiopia,ETH,Least Developed Country
Gambia,GMB,Least Developed Country
Guinea,GIN,Least Developed Country
Guinea-Bissau,GNB,Least Developed Country
Haiti,HTI,Least Developed Country
Kiribati,KIR,Least Developed Country
Laos,LAO,Least Developed Country
Lesotho,LSO,Least Developed Country
Liberia,LBR,Least Developed Country
Madagascar,MDG,Least Developed Country
Malawi,MWI,Least Developed Country
Mali,MLI,Least Developed Country
Mauritania,MRT,Least Developed Country
Mozambique,MOZ,Least Developed Country
Myanmar,MMR,Least Developed Country
Nepal,NPL,Least Developed Country
Niger,NER,Least Developed Country
Rwanda,RWA,Least Developed Country
Senegal,SEN,Least Developed Country
Sierra Leone,SLE,Least Developed Country
Solomon Islands,SLB,Least Developed Country
Somalia,SOM,Least Developed Country
Sudan,SDN,Least Developed Country
East Timor,TLS,Least Developed Country
Togo,TGO,Least Developed Country
Tuvalu,TUV,Least Developed Country
Uganda,UGA,Least Developed Country
Tanzania,TZA,Least Developed Country
Zambia,ZMB,Least Developed Country
